Time	Component	Volatility OIS	Volatility Spread
0	0	0.0	0.0
0	1	0.4762886434467475	0.17122129641012848
0	2	0.4462230543091744	0.16287073524647266
0	3	0.41122733102257686	0.15492743575651036
0	4	0.372512073657023	0.1473715355540367
0	5	0.3311021215114768	0.14018414095285284
0	6	0.28786094496924747	0.13334727972270916
0	7	0.2435120772036779	0.12684385614936838
0	8	0.19865792823444312	0.12065760828641504
0	9	0.15379628545525822	0.11477306729191916
0	10	0.1093347705771732	0.10917551874827398
0	11	0.06560349250558294	0.10385096586848756
0	12	0.022866108589285058	0.09878609449692471
0	13	0.0	0.09396823981698285
0	14	0.0	0.08938535468245368
0	15	0.0	0.08502597949338263
0	16	0.0	0.08087921354109985
0	17	0.0	0.07693468775077078
0	18	0.0	0.07318253875330782
0	19	0.0	0.06961338422181018
0	20	0.0	0.06621829941085959
0	21	0.0	0.06298879484000794
0	22	0.0	0.0599167950656543
0	23	0.0	0.056994618488229544
0	24	0.0	0.05421495814419635
0	25	0.0	0.0515708634348342
0	26	0.0	0.04905572274612225
0	27	0.0	0.046663246916260455
0	28	0.0	0.044387453509489146
0	29	0.0	0.042222651856883564
0	30	0.0	0.04016342882671736
0	31	0.0	0.03820463528881374
0	32	0.0	0.03634137323903796
0	33	0.0	0.034568983551735724
0	34	0.0	0.03288303432949222
0	35	0.0	0.03127930982108012
0	36	0.0	0.029753799879885565
0	37	0.0	0.028302689936452963
0	38	0.0	0.0269223514600743
0	39	0.0	0.02560933288557243
1	0	0.0	0.0
1	1	0.0	0.0
1	2	0.4762886434467474	0.17122129641012848
1	3	0.4462230543091744	0.16287073524647266
1	4	0.41122733102257686	0.15492743575651036
1	5	0.372512073657023	0.1473715355540367
1	6	0.3311021215114768	0.14018414095285284
1	7	0.28786094496924747	0.13334727972270916
1	8	0.2435120772036779	0.12684385614936838
1	9	0.19865792823444312	0.12065760828641504
1	10	0.15379628545525822	0.11477306729191916
1	11	0.1093347705771732	0.10917551874827398
1	12	0.06560349250558294	0.10385096586848756
1	13	0.022866108589285058	0.09878609449692471
1	14	0.0	0.09396823981698285
1	15	0.0	0.08938535468245368
1	16	0.0	0.08502597949338263
1	17	0.0	0.08087921354109985
1	18	0.0	0.07693468775077078
1	19	0.0	0.07318253875330782
1	20	0.0	0.06961338422181018
1	21	0.0	0.06621829941085959
1	22	0.0	0.06298879484000794
1	23	0.0	0.0599167950656543
1	24	0.0	0.056994618488229544
1	25	0.0	0.05421495814419635
1	26	0.0	0.0515708634348342
1	27	0.0	0.04905572274612225
1	28	0.0	0.046663246916260455
1	29	0.0	0.044387453509489146
1	30	0.0	0.042222651856883564
1	31	0.0	0.04016342882671736
1	32	0.0	0.03820463528881374
1	33	0.0	0.03634137323903796
1	34	0.0	0.034568983551735724
1	35	0.0	0.03288303432949222
1	36	0.0	0.03127930982108012
1	37	0.0	0.029753799879885565
1	38	0.0	0.028302689936452963
1	39	0.0	0.0269223514600743
2	0	0.0	0.0
2	1	0.0	0.0
2	2	0.0	0.0
2	3	0.4762886434467474	0.17122129641012848
2	4	0.4462230543091744	0.16287073524647266
2	5	0.41122733102257686	0.15492743575651036
2	6	0.372512073657023	0.1473715355540367
2	7	0.3311021215114768	0.14018414095285284
2	8	0.28786094496924747	0.13334727972270916
2	9	0.2435120772036779	0.12684385614936838
2	10	0.19865792823444312	0.12065760828641504
2	11	0.15379628545525822	0.11477306729191916
2	12	0.1093347705771732	0.10917551874827398
2	13	0.06560349250558294	0.10385096586848756
2	14	0.022866108589285058	0.09878609449692471
2	15	0.0	0.09396823981698285
2	16	0.0	0.08938535468245368
